data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-04-24;RBRR11;Rbr Rendimento High Grade;1,52 B;0,9;11,84;11,36;8,34 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;BDIF11;Fundo Em Infraestrutura Btg Pactual Dívida Infra;1,51 B;0,93;12,56;12,39;2,93 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;ALZR11;Alianza Trust Renda Imobiliária;1,49 B;1,0;9,52;8,98;2,09 M;Fundo de Tijolo;Híbrido
2026-04-24;RBRX11;Rbr Plus Multiestratégia Real Estate;1,44 B;0,89;12,33;12,68;12,91 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;VGIR11;Valora Re Iii;1,43 B;1,0;15,63;13,11;4,14 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;VGHF11;Valora Hedge;1,42 B;0,8;13,81;13,4;2,74 M;Fundo de Papel;Híbrido
2026-04-24;HSLG11;Hsi Logística;1,39 B;0,84;8,96;9,15;822,16 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-04-24;VCJR11;Vectis Juros Real;1,39 B;0,86;13,81;12,58;2,46 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;PSEC11;Vbi Reits Fof;1,38 B;0,83;13,16;11,58;2,34 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;DEVA11;Devant Recebíveis Imobiliários;1,38 B;0,24;19,17;15,01;523,95 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;VRTA11;Fator Verita;1,32 B;0,93;12,92;12,15;1,31 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;CPTI11;Capitânia Infra Fic Fi-Infra Rf Cp;1,28 B;0,96;13,78;12,28;2,64 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;BROF11;Brpr Corporate Offices;1,28 B;0,57;10,33;10,43;463,03 K;Fundo de Tijolo;Híbrido
2026-04-24;RBRY11;Rbr Private Crédito Imobiliário;1,27 B;0,94;15,06;12,99;5,14 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;GTWR11;Green Towers;1,22 B;0,84;12,53;11,52;653,78 K;Fundo de Tijolo;Lajes Corporativas
2026-04-24;GSFI11;General Shop E Outlets Do Brasil;1,21 B;0,88;;;118,28 K;Fundo de Tijolo;Shoppings / Varejo
